Ranking,Metro_Area,City,Metropollitan_Population
1,"New York-Newark, NY-NJ-CT-PA","New York, NY","23,689,255"
2,"Los Angeles-Long Beach, CA","Los Angeles, CA","18,688,022"
3,"Chicago-Naperville, IL-IN-WI","Chicago, IL","9,882,634"
4,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, CD","9,665,892"
5,"San Jose-San Francisco-Oakland, CA","San Francisco, CA","8,751,807"
6,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston, MA","8,176,376"
7,"Dallas-Fort Worth, TX-OK","Dallas, TX","7,673,305"
8,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA","7,179,357"
9,"Houston-The Woodlands, TX","Houston, TX","6,972,374"
10,"Miami-Fort Lauderdale-Port St. Lucie, FL","Miami, FL","6,723,472"
11,"Atlanta-Athens-Clarke County-Sandy Springs, GA","Atlanta, GA","6,451,262"
12,"Detroit-Warren-Ann Arbor, MI","Detroit, MI","5,318,653"
13,"Seattle-Tacoma, WA","Seattle, WA","4,684,516"
14,"Minneapolis-St. Paul, MN-WI","Minneapolis, MN","3,894,820"
15,"Cleveland-Akron-Canton, OH","Cleveland, OH","3,483,311"
16,"Denver-Aurora, CO","Denver, CO","3,470,235"
17,"Orlando-Deltona-Daytona Beach, FL","Orlando, FL","3,202,927"
18,"Portland-Vancouver-Salem, OR-WA","Portland, OR","3,160,488"
19,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO","2,911,769"
20,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh, PA","2,635,228"
21,"Charlotte-Concord, NC-SC","Charlotte, NC","2,632,249"
22,"Sacramento-Roseville, CA","Sacramento, CA","2,567,451"
23,"Salt Lake City-Provo-Orem, UT","Salt Lake City, UT","2,514,748"
24,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO","2,446,396"
25,"Columbus-Marion-Zanesville, OH","Columbus, OH","2,443,402"
26,"Las Vegas-Henderson, NV-AZ","Las Vegas, NV","2,404,336"
27,"Indianapolis-Carmel-Muncie, IN","Indianapolis, IN","2,386,199"
28,"Cincinnati-Wilmington-Maysville, OH-KY-IN","Cincinnati, OH","2,224,231"
29,"Raleigh-Durham-Chapel Hill, NC","Raleigh, NC","2,156,253"
30,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI","2,043,274"
