Metro_Area,State,County,FIPS
"New York, NY",New York,New York,36061
"New York, NY",New York,Bronx,36005
"New York, NY",New York,Kings,36047
"New York, NY",New York,Queens,36081
"New York, NY",New York,Richmond,36085
"Los Angeles, CA",California,Los Angeles,6037
"Los Angeles, CA",California,Ventura,6111
"Los Angeles, CA",California,San Bernardino,6071
"Los Angeles, CA",California,Riverside,6065
"Los Angeles, CA",California,Orange,6059
"Chicago, IL",Illinois,Cook,17031
"Chicago, IL",Illinois,Du Page,17043
"Chicago, IL",Illinois,Kane,17089
"Chicago, IL",Illinois,Lake,17097
"Chicago, IL",Illinois,Will,17197
"Washington, DC",Maryland,Frederick,24021
"Washington, DC",Maryland,Montgomery,24031
"Washington, DC",Maryland,Prince Georges,24033
"Washington, DC",District of Columbia,Washington,11001
"San Francisco, CA",California,Alameda,6001
"San Francisco, CA",California,Contra Costa,6013
"San Francisco, CA",California,Marin,6041
"San Francisco, CA",California,Napa,6055
"San Francisco, CA",California,San Francisco,6075
"San Francisco, CA",California,San Mateo,6081
"San Francisco, CA",California,Santa Clara,6085
"San Francisco, CA",California,Solano,6095
"San Francisco, CA",California,Sonoma,6097
"Boston, MA",Massachusetts,Bristol,25005
"Boston, MA",Rhode Island,Bristol,44001
"Boston, MA",Rhode Island,Kent,44003
"Boston, MA",Rhode Island,Newport,44005
"Boston, MA",Rhode Island,Providence,44007
"Boston, MA",Rhode Island,Washington,44009
"Dallas, TX",Texas,Dallas,48113
"Dallas, TX",Texas,Dallas,48113
"Dallas, TX",Texas,Dallas,48113
"Dallas, TX",Texas,Dallas,48113
"Dallas, TX",Texas,Dallas,48113
"Philadelphia, PA",Pennsylvania,Bucks,42017
"Philadelphia, PA",Pennsylvania,Chester,42029
"Philadelphia, PA",Pennsylvania,Delaware,42045
"Philadelphia, PA",Pennsylvania,Montgomery,42091
"Philadelphia, PA",Pennsylvania,Philadelphia,42101
"Philadelphia, PA",New Jersey,Burlington,34005
"Philadelphia, PA",New Jersey,Camden,34007
"Philadelphia, PA",New Jersey,Gloucester,34015
"Philadelphia, PA",New Jersey,Salem,34033
"Houston, TX",Texas,Austin,48015
"Houston, TX",Texas,Brazoria,48039
"Houston, TX",Texas,Chambers,48071
"Houston, TX",Texas,Fort Bend,48157
"Houston, TX",Texas,Galveston,48167
"Houston, TX",Texas,Harris,48201
"Houston, TX",Texas,Liberty,48291
"Houston, TX",Texas,Montgomery,48339
"Houston, TX",Texas,Waller,48473
"Miami, FL",Florida,Dade,12025
"Miami, FL",Florida,Broward,12011
"Miami, FL",Florida,Palm Beach,12099
"Atlanta, GA",Georgia,Fulton,13121
"Atlanta, GA",Georgia,De Kalb,13089
"Atlanta, GA",Georgia,Gwinnett,13135
"Atlanta, GA",Georgia,Cobb,13067
"Atlanta, GA",Georgia,Clayton,13063
"Atlanta, GA",Georgia,Coweta,13077
"Atlanta, GA",Georgia,Douglas,13097
"Atlanta, GA",Georgia,Fayette,13113
"Atlanta, GA",Georgia,Henry,13151
"Detroit, MI",Michigan,Lapeer,26087
"Detroit, MI",Michigan,Livingston,26093
"Detroit, MI",Michigan,Macomb,26099
"Detroit, MI",Michigan,Oakland,26125
"Detroit, MI",Michigan,St Clair,26147
"Detroit, MI",Michigan,Wayne,26163
"Seattle, WA",Washington,King,53033
"Seattle, WA",Washington,Snohomish,53061
"Seattle, WA",Washington,Pierce,53053
"Minneapolis, MN",Minnesota,Hennepin,27053
"Minneapolis, MN",Minnesota,Ramsey,27123
"Minneapolis, MN",Minnesota,Dakota,27037
"Minneapolis, MN",Minnesota,Anoka,27003
"Minneapolis, MN",Minnesota,Washington,27163
"Minneapolis, MN",Minnesota,Scott,27139
"Minneapolis, MN",Minnesota,Wright,27171
"Minneapolis, MN",Minnesota,Carver,27019
"Minneapolis, MN",Minnesota,Sherburne,27141
"Minneapolis, MN",Wisconsin,St Croix,55109
"Minneapolis, MN",Minnesota,Chisago,27025
"Minneapolis, MN",Wisconsin,Pierce,55093
"Minneapolis, MN",Minnesota,Isanti,27059
"Minneapolis, MN",Minnesota,Le Sueur,27079
"Minneapolis, MN",Minnesota,Mille Lacs,27095
"Minneapolis, MN",Minnesota,Sibley,27143
"Cleveland, OH",Ohio,Cuyahoga,39035
"Cleveland, OH",Ohio,Lake,39085
"Cleveland, OH",Ohio,Geauga,39055
"Cleveland, OH",Ohio,Medina,39103
"Cleveland, OH",Ohio,Lorain,39093
"Denver, CO",Colorado,Jefferson,8059
"Denver, CO",Colorado,Adams,8001
"Denver, CO",Colorado,Arapahoe,8005
