State,County,Personal Income(2015),Personal Income(2016),Personal Income(2017),Personal Income(Rank in State 2017),Percentage Change(2016),Percentage Change(2017),Percentage Change(Rank in State 2017)
Alabama,Autauga,"38,591","39,509","40,484",9,2.4,2.5,67
Alabama,Baldwin,"41,412","43,004","44,079",4,3.8,2.5,66
Alabama,Barbour,"31,509","31,750","33,453",46,0.8,5.4,11
Alabama,Bibb,"29,048","28,989","30,022",66,-0.2,3.6,47
Alabama,Blount,"31,987","32,261","33,707",45,0.9,4.5,19
Alabama,Bullock,"26,222","26,450","27,500",67,0.9,4,31
Alabama,Butler,"33,700","33,888","35,196",35,0.6,3.9,34
Alabama,Calhoun,"34,188","34,869","36,255",26,2,4,29
Alabama,Chambers,"31,438","32,562","33,758",44,3.6,3.7,41
Alabama,Cherokee,"32,906","32,758","34,371",39,-0.4,4.9,15
Alabama,Chilton,"31,830","32,268","33,350",47,1.4,3.4,53
Alabama,Choctaw,"35,621","36,232","37,253",20,1.7,2.8,63
Alabama,Clarke,"33,684","34,476","35,448",33,2.4,2.8,62
Alabama,Clay,"31,091","31,314","33,230",48,0.7,6.1,4
Alabama,Cleburne,"33,556","33,917","35,298",34,1.1,4.1,27
Alabama,Coffee,"39,558","40,319","42,076",6,1.9,4.4,21
Alabama,Colbert,"35,684","36,452","37,602",18,2.2,3.2,58
Alabama,Conecuh,"30,052","30,536","31,616",61,1.6,3.5,48
Alabama,Coosa,"28,075","29,284","30,332",65,4.3,3.6,46
Alabama,Covington,"32,396","32,971","34,785",38,1.8,5.5,10
Alabama,Crenshaw,"36,199","34,596","36,832",24,-4.4,6.5,2
Alabama,Cullman,"36,824","36,721","38,615",15,-0.3,5.2,13
Alabama,Dale,"34,131","34,559","35,834",30,1.3,3.7,39
Alabama,Dallas,"32,148","33,691","34,955",37,4.8,3.8,37
Alabama,DeKalb,"29,764","29,405","30,982",63,-1.2,5.4,12
Alabama,Elmore,"38,445","39,575","40,601",8,2.9,2.6,65
Alabama,Escambia,"30,486","30,772","31,842",59,0.9,3.5,50
Alabama,Etowah,"34,129","34,783","36,069",28,1.9,3.7,38
Alabama,Fayette,"32,100","32,394","33,996",41,0.9,4.9,14
Alabama,Franklin,"31,275","31,153","32,985",50,-0.4,5.9,7
Alabama,Geneva,"32,232","32,627","33,958",42,1.2,4.1,26
Alabama,Greene,"30,428","31,084","32,156",56,2.2,3.4,52
Alabama,Hale,"33,916","34,661","36,043",29,2.2,4,28
Alabama,Henry,"36,146","37,632","39,459",13,4.1,4.9,16
Alabama,Houston,"38,609","39,511","40,878",7,2.3,3.5,51
Alabama,Jackson,"33,608","34,198","35,774",31,1.8,4.6,18
Alabama,Jefferson,"48,902","49,678","52,003",2,1.6,4.7,17
Alabama,Lamar,"31,356","31,809","32,803",52,1.4,3.1,59
Alabama,Lauderdale,"34,939","35,412","36,448",25,1.4,2.9,61
Alabama,Lawrence,"31,504","31,102","33,003",49,-1.3,6.1,5
Alabama,Lee,"34,198","35,758","36,941",22,4.6,3.3,55
Alabama,Limestone,"38,046","39,080","40,381",10,2.7,3.3,54
Alabama,Lowndes,"38,855","37,203","39,483",12,-4.3,6.1,3
Alabama,Macon,"29,723","30,638","31,938",57,3.1,4.2,22
Alabama,Madison,"46,895","48,076","49,650",3,2.5,3.3,57
Alabama,Marengo,"36,100","36,766","38,086",17,1.8,3.6,45
Alabama,Marion,"30,223","30,577","32,315",55,1.2,5.7,9
Alabama,Marshall,"33,620","33,776","35,005",36,0.5,3.6,44
